Pièce		Occurrence	Traduction anglaise	Type	Zone géographique	Continent	Coordonnées	ID	Remarque	Auteur	Titre	Genre	Représentation	Décennie	Publication	Décennie			
BOYER_AGAMEMNON	5	Asie	Asia	Continent			29.84064, 89.29688	http://www.geonames.org/6255147		Boyer, Claude	Agammemnon	Tragédie	1647	40	1680	80	http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml	https://catalogue.bnf.fr/ark:/12148/cb301521083	
BOYER_AGAMEMNON	15	Grèce	Greece	Pays	Grèce	Europe	39, 22	http://www.geonames.org/390903		Boyer, Claude	Agammemnon	Tragédie	1647	40	1680	80	http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml	https://catalogue.bnf.fr/ark:/12148/cb301521083	
BOYER_AGAMEMNON	34	Mycènes	Mycenae	Ville	Grèce	Europe	37.7300345711, 22.7540710459	https://pleiades.stoa.org/places/570491		Boyer, Claude	Agammemnon	Tragédie	1647	40	1680	80	http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml	https://catalogue.bnf.fr/ark:/12148/cb301521083	
BOYER_AGAMEMNON	1	Phocide	Phocis	Région	Grèce	Europe	38.5, 22.25	https://pleiades.stoa.org/places/541048		Boyer, Claude	Agammemnon	Tragédie	1647	40	1680	80	http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml	https://catalogue.bnf.fr/ark:/12148/cb301521083	
BOYER_AGAMEMNON	11	Ilion	Ilion	Ville	Grèce	Europe	39.740892, 20.552904	https://pleiades.stoa.org/places/530898		Boyer, Claude	Agammemnon	Tragédie	1647	40	1680	80	http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml	https://catalogue.bnf.fr/ark:/12148/cb301521083	
BOYER_AGAMEMNON	1	mer Egée	Aegean Sea	Mer	Grèce	Europe	37.4126570185, 25.8014773544	https://pleiades.stoa.org/places/560221		Boyer, Claude	Agammemnon	Tragédie	1647	40	1680	80	http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml	https://catalogue.bnf.fr/ark:/12148/cb301521083	
BOYER_AGAMEMNON	8	Argos	Argos	Ville	Grèce	Europe	37.631561, 22.719464	https://pleiades.stoa.org/places/570106		Boyer, Claude	Agammemnon	Tragédie	1647	40	1680	80	http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml	https://catalogue.bnf.fr/ark:/12148/cb301521083	
BOYER_AGAMEMNON	19	Troie	Troy	Ville	Anatolie	Asie	39.9574327844, 26.2384586227	https://pleiades.stoa.org/places/550595		Boyer, Claude	Agammemnon	Tragédie	1647	40	1680	80	http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml	https://catalogue.bnf.fr/ark:/12148/cb301521083	
BOYER_AGAMEMNON	2	Crète	Creta	Pays	Grèce	Europe	35.0627201667, 24.9469437222	https://pleiades.stoa.org/places/981517		Boyer, Claude	Agammemnon	Tragédie	1647	40	1680	80	http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml	https://catalogue.bnf.fr/ark:/12148/cb301521083	
BOYER_AGAMEMNON	9	Sparte	Sparta	Ville	Grèce	Europe	37.077905, 22.4272985	https://pleiades.stoa.org/places/570685		Boyer, Claude	Agammemnon	Tragédie	1647	40	1680	80	http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml	https://catalogue.bnf.fr/ark:/12148/cb301521083	
