"the_geom","id","piece","_column","occurrence","traduction_anglaise","type","zone_geographique","continent","lat","lng","cartodb_id","remarque","auteur","titre","genre","representation","decennie","publication","decennie2","column2","column3","column4"
"0101000020E610000031CEDF8442242B40255D33F9669B4440","http://www.geonames.org/3176438","CORNEILLET_GEOLIERDESOISMEME","9","Gaïette","Gaeta","Ville","Italie","Europe","41.21408","13.57082","83","","Corneille, Thomas","Le Geôlier de soi-même","Comédie","1655","50","1655","50","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_GEOLIERDESOISMEME.xml","",""
"0101000020E6100000546F0D6C95A0024074EACA67796E4840","http://www.geonames.org/6452747","CORNEILLET_AMOURALAMODE","2","Tuileries","Tuileries","Lieu","France","Europe","48.86308","2.32841","73","","Corneille, Thomas","L’Amour à la mode","Comédie","1653","50","1653","50","http://dramacode.github.io/tcp5/corneillet_amouralamode.xml","https://catalogue.bnf.fr/ark:/12148/cb30272159k",""
"0101000020E610000063005EE76AF238405963E43607884140","https://pleiades.stoa.org/places/981517","CORNEILLET_ARIANE","4","Crète","Creta","Région","Grèce","Europe","35.0627201667","24.9469437222","74","","Corneille, Thomas","Ariane","Tragédie","1672","70","1672","70","http://dramacode.github.io/tcp5/corneillet_ariane.xml","https://catalogue.bnf.fr/ark:/12148/cb30272162g","https://gallica.bnf.fr/ark:/12148/bpt6k5772310n"
"0101000020E61000007197EE4647B937403403805685FC4240","https://pleiades.stoa.org/places/579885","CORNEILLET_ARIANE","7","Athènes","Athens","Ville","Grèce","Europe","37.9728191495","23.7237438519","75","","Corneille, Thomas","Ariane","Tragédie","1672","70","1672","70","http://dramacode.github.io/tcp5/corneillet_ariane.xml","https://catalogue.bnf.fr/ark:/12148/cb30272162g","https://gallica.bnf.fr/ark:/12148/bpt6k5772310n"
"0101000020E61000003D0AD7A3707D39406666666666864240","https://pleiades.stoa.org/places/599822","CORNEILLET_ARIANE","11","Naxe","Naxos","Île","Grèce","Europe","37.05","25.49","76","","Corneille, Thomas","Ariane","Tragédie","1672","70","1672","70","http://dramacode.github.io/tcp5/corneillet_ariane.xml","https://catalogue.bnf.fr/ark:/12148/cb30272162g","https://gallica.bnf.fr/ark:/12148/bpt6k5772310n"
"NaN","http://www.geonames.org/390903","CORNEILLET_BRADAMANTE","5","Grèce","Greece","Pays","Grèce","Europe","39","22","77","","Corneille, Thomas","Bradamante","Tragédie","1695","90","1695","90","http://dramacode.github.io/tcp5/corneillet_bradamante.xml","",""
"NaN","http://www.geonames.org/3017382","CORNEILLET_BRADAMANTE","3","France","France","Pays","France","Europe","46","2","78","","Corneille, Thomas","Bradamante","Tragédie","1695","90","1695","90","http://dramacode.github.io/tcp5/corneillet_bradamante.xml","",""
"0101000020E610000073637AC21277344017D4B7CCE9664640","http://www.geonames.org/792680","CORNEILLET_BRADAMANTE","1","Belgrade","Belgrade","Ville","Serbie","Europe","44.80401","20.46513","79","","Corneille, Thomas","Bradamante","Tragédie","1695","90","1695","90","http://dramacode.github.io/tcp5/corneillet_bradamante.xml","",""
"0101000020E61000000000000000802C400000000000E04240","http://www.geonames.org/2523119","CORNEILLET_GEOLIERDESOISMEME","25","Sicile","Sicily","Région","Italie","Europe","37.75","14.25","80","","Corneille, Thomas","Le Geôlier de soi-même","Comédie","1655","50","1655","50","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_GEOLIERDESOISMEME.xml","",""
"0101000020E61000000C76C3B645892C40CC7A3194136D4440","http://www.geonames.org/3172394","CORNEILLET_GEOLIERDESOISMEME","2","Naples","Naples","Ville","Italie","Europe","40.85216","14.26811","81","","Corneille, Thomas","Le Geôlier de soi-même","Comédie","1655","50","1655","50","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_GEOLIERDESOISMEME.xml","",""
"0101000020E61000004A24D1CB28962D40A60A462575564440","http://www.geonames.org/3168673","CORNEILLET_GEOLIERDESOISMEME","1","Salerne","Salerno","Ville","Italie","Europe","40.67545","14.79328","82","","Corneille, Thomas","Le Geôlier de soi-même","Comédie","1655","50","1655","50","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_GEOLIERDESOISMEME.xml","",""
"0101000020E6100000E65C8AABCACE4240D5B2B5BE48E04B40","https://en.wikipedia.org/wiki/Grand_Duchy_of_Moscow","CORNEILLET_GEOLIERDESOISMEME","1","Moscovie","Muscovy","Région","Russie","Europe","55.75222","37.61556","84","","Corneille, Thomas","Le Geôlier de soi-même","Comédie","1655","50","1655","50","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_GEOLIERDESOISMEME.xml","",""
"0101000020E61000003CA06CCA157E264039B4C876BEE34540","http://www.geonames.org/3176959","CORNEILLET_GEOLIERDESOISMEME","1","Florence","Florence","Ville","Italie","Europe","43.77925","11.24626","85","","Corneille, Thomas","Le Geôlier de soi-même","Comédie","1655","50","1655","50","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_GEOLIERDESOISMEME.xml","",""
