"the_geom","id","piece","_column","occurrence","traduction_anglaise","type","zone_geographique","continent","lat","lng","cartodb_id","remarque","auteur","titre","genre","representation","decennie","publication","decennie2","column2","column3","column4"
"0101000020E610000048C0E8F2E6F82840F931E6AE25F24440","https://pleiades.stoa.org/places/423025","DURYER_CLARIGENE","22","Rome","Roma","Ville","Italie","Europe","41.891775","12.486137","86","","Duryer, Pierre","Clarigène","Tragi-comédie","1637","30","1639","30","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_CLARIGENE.xml","https://catalogue.bnf.fr/ark:/12148/cb303879252","https://gallica.bnf.fr/ark:/12148/bpt6k71577m"
"0101000020E61000007197EE4647B937403403805685FC4240","https://pleiades.stoa.org/places/579885","DURYER_CLARIGENE","4","Athènes","Athens","Ville","Grèce","Europe","37.9728191495","23.7237438519","87","","Duryer, Pierre","Clarigène","Tragi-comédie","1637","30","1639","30","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_CLARIGENE.xml","https://catalogue.bnf.fr/ark:/12148/cb303879252","https://gallica.bnf.fr/ark:/12148/bpt6k71577m"
"0101000020E610000011FFB0A5479328406D1CB1169FE04440","https://pleiades.stoa.org/places/422995","DURYER_CLARIGENE","1","Ostie","Ostia","Ville","Italie","Europe","41.754855","12.287656","88","","Duryer, Pierre","Clarigène","Tragi-comédie","1637","30","1639","30","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_CLARIGENE.xml","https://catalogue.bnf.fr/ark:/12148/cb303879252","https://gallica.bnf.fr/ark:/12148/bpt6k71577m"
"0101000020E61000009B5775560B8C3A404703780B248E4340","https://pleiades.stoa.org/places/550763","DURYER_CLARIGENE","1","Mitilène","Mytilene","Ville","Grèce","Europe","39.110475","26.547048","89","","Duryer, Pierre","Clarigène","Tragi-comédie","1637","30","1639","30","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_CLARIGENE.xml","https://catalogue.bnf.fr/ark:/12148/cb303879252","https://gallica.bnf.fr/ark:/12148/bpt6k71577m"
"0101000020E61000000000000000802C400000000000E04240","http://www.geonames.org/2523119","DURYER_CLARIGENE","3","Sicile","Sicily","Région","Italie","Europe","37.75","14.25","90","","Duryer, Pierre","Clarigène","Tragi-comédie","1637","30","1639","30","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_CLARIGENE.xml","https://catalogue.bnf.fr/ark:/12148/cb303879252","https://gallica.bnf.fr/ark:/12148/bpt6k71577m"
"0101000020E61000004700378B179A414024B4E55C8AA24040","https://pleiades.stoa.org/places/678437","DURYER_CLITOPHON","4","Tyr","Tyre","Ville","Levant","Asie","33.2698475","35.2038435","91","","Duryer, Pierre","Clitophon","Tragi-comédie","1629","20","1632","30","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_CLITOPHON.xml","",""
"0101000020E6100000EFAD484C50F93C40917D9065C1804440","https://pleiades.stoa.org/places/520985","DURYER_CLITOPHON","2","Byzance","Byzantium","Ville","Anatolie","Asie","41.005902","28.9738815","92","","Duryer, Pierre","Clitophon","Tragi-comédie","1629","20","1632","30","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_CLITOPHON.xml","",""
"0101000020E6100000A8C821E2E6E83D400F45813E91333F40","https://pleiades.stoa.org/places/727070","DURYER_CLITOPHON","1","Alexandrie","Alexandria","Ville","Afrique","Afrique","31.201435","29.909773","93","","Duryer, Pierre","Clitophon","Tragi-comédie","1629","20","1632","30","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_CLITOPHON.xml","",""
"0101000020E610000000000000008036400000000000C04240","https://pleiades.stoa.org/places/991374","DURYER_CLITOPHON","2","Thessalie","Thessalia/Thessaly","Région","Grèce","Europe","37.5","22.5","94","","Duryer, Pierre","Clitophon","Tragi-comédie","1629","20","1632","30","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_CLITOPHON.xml","",""
"0101000020E6100000580394861A213D407077D66EBB414240","https://pleiades.stoa.org/places/638965","DURYER_DYNAMIS","1","Lycie","Lycia","Région","Anatolie","Asie","36.5135325","29.129311","95","","Duryer, Pierre","Dynamis","Tragi-comédie","1649","40","1653","50","http://dramacode.github.io/tcp5/duryer_dynamis.xml","https://catalogue.bnf.fr/ark:/12148/cb30387930n",""
"0101000020E61000001ABFF04A926B3B409CFBABC77D854240","https://pleiades.stoa.org/places/599636","DURYER_DYNAMIS","1","Halicarnasse","Halicarnassus","Ville","Anatolie","Asie","37.042901","27.420201","96","","Duryer, Pierre","Dynamis","Tragi-comédie","1649","40","1653","50","http://dramacode.github.io/tcp5/duryer_dynamis.xml","https://catalogue.bnf.fr/ark:/12148/cb30387930n",""
"0101000020E61000000000000000804A400000000000004040","http://www.geonames.org/130758","DURYER_ESTHER","7","Perse","Persia","Pays","Orient","Asie","32","53","97","","Duryer, Pierre","Esther","Tragédie","1642","40","1644","40","http://dramacode.github.io/tcp5/duryer_esther.xml","https://catalogue.bnf.fr/ark:/12148/cb303879310","https://gallica.bnf.fr/ark:/12148/bpt6k71601n"
"0101000020E61000005E471CB2819E41402DCC423BA7ED3F40","https://pleiades.stoa.org/places/687934","DURYER_ESTHER","1","Judée","Judea","Région","Levant","Asie","31.928333","35.238333","98","","Duryer, Pierre","Esther","Tragédie","1642","40","1644","40","http://dramacode.github.io/tcp5/duryer_esther.xml","https://catalogue.bnf.fr/ark:/12148/cb303879310","https://gallica.bnf.fr/ark:/12148/bpt6k71601n"
"0101000020E6100000516D5D1A39364640D0E445DBF6444040","https://pleiades.stoa.org/places/893951","DURYER_ESTHER","1","Babylone","Babylon","Ville","Orient","Asie","32.5387834636","44.4236176449","99","","Duryer, Pierre","Esther","Tragédie","1642","40","1644","40","http://dramacode.github.io/tcp5/duryer_esther.xml","https://catalogue.bnf.fr/ark:/12148/cb303879310","https://gallica.bnf.fr/ark:/12148/bpt6k71601n"
