"the_geom","id","piece","_column","occurrence","traduction_anglaise","type","zone_geographique","continent","lat","lng","cartodb_id","remarque","auteur","titre","genre","representation","decennie","publication","decennie2","column2","column3","column4"
"0101000020E610000000000000006041400000000000403F40","https://pleiades.stoa.org/places/687995","RACINE_BERENICE","2","Palestine","Palestine","Pays","Levant","Asie","31.25","34.75","111","","Racine, Jean","Bérénice","Tragédie","1670","70","1671","70","http://dramacode.github.io/tcp5/racine_berenice.xml","https://gallica.bnf.fr/ark:/12148/bpt6k70159b","https://catalogue.bnf.fr/ark:/12148/cb311691382"
"0101000020E610000011FFB0A5479328406D1CB1169FE04440","https://pleiades.stoa.org/places/422995","RACINE_BERENICE","2","Ostie","Ostia","Ville","Italie","Europe","41.754855","12.287656","112","","Racine, Jean","Bérénice","Tragédie","1670","70","1671","70","http://dramacode.github.io/tcp5/racine_berenice.xml","https://gallica.bnf.fr/ark:/12148/bpt6k70159b","https://catalogue.bnf.fr/ark:/12148/cb311691382"
"0101000020E6100000C05DF6EB4EFA4240C537143E5B434240","https://pleiades.stoa.org/places/658443","RACINE_BERENICE","4","Comagène","Commagene","Région","Anatolie","Asie","36.526222","37.9555335","113","","Racine, Jean","Bérénice","Tragédie","1670","70","1671","70","http://dramacode.github.io/tcp5/racine_berenice.xml","https://gallica.bnf.fr/ark:/12148/bpt6k70159b","https://catalogue.bnf.fr/ark:/12148/cb311691382"
"0101000020E610000048C0E8F2E6F82840F931E6AE25F24440","https://pleiades.stoa.org/places/423025","RACINE_BERENICE","52","Rome","Roma","Ville","Italie","Europe","41.891775","12.486137","114","","Racine, Jean","Bérénice","Tragédie","1670","70","1671","70","http://dramacode.github.io/tcp5/racine_berenice.xml","https://gallica.bnf.fr/ark:/12148/bpt6k70159b","https://catalogue.bnf.fr/ark:/12148/cb311691382"
"0101000020E61000005E471CB2819E41402DCC423BA7ED3F40","https://pleiades.stoa.org/places/687934","RACINE_BERENICE","3","Judée","Judea","Région","Levant","Asie","31.928333","35.238333","115","","Racine, Jean","Bérénice","Tragédie","1670","70","1671","70","http://dramacode.github.io/tcp5/racine_berenice.xml","https://gallica.bnf.fr/ark:/12148/bpt6k70159b","https://catalogue.bnf.fr/ark:/12148/cb311691382"
"0101000020E61000006388020F0AAE44404DDD4E88A44D4140","https://pleiades.stoa.org/places/912849","RACINE_BERENICE","3","Euphrate","Euphrates","Fleuve","Orient","Asie","34.606583632","41.3596819651","116","","Racine, Jean","Bérénice","Tragédie","1670","70","1671","70","http://dramacode.github.io/tcp5/racine_berenice.xml","https://gallica.bnf.fr/ark:/12148/bpt6k70159b","https://catalogue.bnf.fr/ark:/12148/cb311691382"
"0101000020E610000000000000004045400000000000803B40","https://pleiades.stoa.org/places/29475","RACINE_BERENICE","1","Arabie","Arabia","Région","Orient","Asie","27.5","42.5","117","","Racine, Jean","Bérénice","Tragédie","1670","70","1671","70","http://dramacode.github.io/tcp5/racine_berenice.xml","https://gallica.bnf.fr/ark:/12148/bpt6k70159b","https://catalogue.bnf.fr/ark:/12148/cb311691382"
"0101000020E61000000000000000C042400000000000C04240","https://pleiades.stoa.org/places/981550","RACINE_BERENICE","1","Syrie","Syria","Pays","Levant","Asie","37.5","37.5","118","","Racine, Jean","Bérénice","Tragédie","1670","70","1671","70","http://dramacode.github.io/tcp5/racine_berenice.xml","https://gallica.bnf.fr/ark:/12148/bpt6k70159b","https://catalogue.bnf.fr/ark:/12148/cb311691382"
"0101000020E6100000268DD13AAAAA29404963B48EAA6A4540","http://www.geonames.org/3175395","RACINE_BERENICE","1","Italie","Italy","Pays","Italie","Europe","42.83333","12.83333","119","","Racine, Jean","Bérénice","Tragédie","1670","70","1671","70","http://dramacode.github.io/tcp5/racine_berenice.xml","https://gallica.bnf.fr/ark:/12148/bpt6k70159b","https://catalogue.bnf.fr/ark:/12148/cb311691382"
"0101000020E61000004F41D9EFE4F628405C1146FD3FF24440","https://pleiades.stoa.org/places/347036492","RACINE_BERENICE","1","Capitole","Capitoline Hill","Lieu","Italie","Europe","41.8925778","12.4822154","120","","Racine, Jean","Bérénice","Tragédie","1670","70","1671","70","http://dramacode.github.io/tcp5/racine_berenice.xml","https://gallica.bnf.fr/ark:/12148/bpt6k70159b","https://catalogue.bnf.fr/ark:/12148/cb311691382"
