"the_geom","id","piece","_column","occurrence","traduction_anglaise","type","zone_geographique","continent","lat","lng","cartodb_id","remarque","auteur","titre","genre","representation","decennie","publication","decennie2","column2","column3","column4"
"NaN","http://www.geonames.org/2523227","ROTROU_DOMBERNARDDECABRERE","5","Sardaigne","Sardinia","Île","Italie","Europe","40","9","178","","Rotrou, Jean de","Don Bernard de Cabrère","Tragi-comédie","1646","40","1647","40","http://dramacode.github.io/tcp5/rotrou_dombernarddecabrere.xml","",""
"0101000020E61000000000000000804A400000000000004040","http://www.geonames.org/130758","ROTROU_COSROES","16","Perse","Persia","Pays","Orient","Asie","32","53","163","","Rotrou, Jean de","Cosroès","Tragédie","1648","40","1649","40","http://dramacode.github.io/tcp5/rotrou_cosroes.xml","https://catalogue.bnf.fr/ark:/12148/cb31251874w","https://gallica.bnf.fr/ark:/12148/btv1b8622110f"
"0101000020E6100000000000000000F8BF0000000000004340","http://www.geonames.org/2513413","ROTROU_DOMBERNARDDECABRERE","1","Murcie","Murcia","Région","Péninsule Ibérique","Europe","38","-1.5","188","","Rotrou, Jean de","Don Bernard de Cabrère","Tragi-comédie","1646","40","1647","40","http://dramacode.github.io/tcp5/rotrou_dombernarddecabrere.xml","",""
"0101000020E6100000B9533A58FF4722400D6C956071584840","http://www.geonames.org/6255148","ROTROU_COSROES","1","Europe","Europa","Continent","","Europe","48.69096","9.14062","164","","Rotrou, Jean de","Cosroès","Tragédie","1648","40","1649","40","http://dramacode.github.io/tcp5/rotrou_cosroes.xml","https://catalogue.bnf.fr/ark:/12148/cb31251874w","https://gallica.bnf.fr/ark:/12148/btv1b8622110f"
"0101000020E61000001A6D5512D9714A403B27CE7672EF3D40","https://pleiades.stoa.org/places/922695","ROTROU_COSROES","1","Persépolis","Persepolis","Ville","Orient","Asie","29.9353403333","52.889437","165","","Rotrou, Jean de","Cosroès","Tragédie","1648","40","1649","40","http://dramacode.github.io/tcp5/rotrou_cosroes.xml","https://catalogue.bnf.fr/ark:/12148/cb31251874w","https://gallica.bnf.fr/ark:/12148/btv1b8622110f"
"0101000020E610000000000000002043400000000000A04340","https://pleiades.stoa.org/places/628936","ROTROU_COSROES","1","Arménie","Armenia","Pays","Arménie","Asie","39.25","38.25","166","Attention: Armenia minor","Rotrou, Jean de","Cosroès","Tragédie","1648","40","1649","40","http://dramacode.github.io/tcp5/rotrou_cosroes.xml","https://catalogue.bnf.fr/ark:/12148/cb31251874w","https://gallica.bnf.fr/ark:/12148/btv1b8622110f"
"0101000020E610000089B5F814005356409EB5DB2E34D73D40","http://www.geonames.org/6255147","ROTROU_COSROES","1","Asie","Asia","Continent","","Asie","29.84064","89.29688","167","","Rotrou, Jean de","Cosroès","Tragédie","1648","40","1649","40","http://dramacode.github.io/tcp5/rotrou_cosroes.xml","https://catalogue.bnf.fr/ark:/12148/cb31251874w","https://gallica.bnf.fr/ark:/12148/btv1b8622110f"
"0101000020E6100000F747B223A2FB3640624086B8B81E4240","https://pleiades.stoa.org/places/570186","ROTROU_DEUXPUCELLES","2","Cythère","Cythera","Île","Grèce","Europe","36.2400122314","22.9829428015","168","","Rotrou, Jean de","Les Deux Pucelles","Tragi-comédie","","","1639","30","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/ROTROU_DEUXPUCELLES.xml","",""
"0101000020E61000000F7F4DD6A8772840904946CEC2DE4440","http://www.geonames.org/3165709","ROTROU_DEUXPUCELLES","1","Tibre","Tiber","Fleuve","Italie","Europe","41.74032","12.23371","169","","Rotrou, Jean de","Les Deux Pucelles","Tragi-comédie","","","1639","30","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/ROTROU_DEUXPUCELLES.xml","",""
"0101000020E610000061FC34EECD5B364000FDBE7FF30A4440","https://pleiades.stoa.org/places/491677","ROTROU_DEUXPUCELLES","1","Olympe","Olympus","Montagne","Grèce","Europe","40.085556","22.358611","170","","Rotrou, Jean de","Les Deux Pucelles","Tragi-comédie","","","1639","30","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/ROTROU_DEUXPUCELLES.xml","",""
