"the_geom","id","piece","_column","occurrence","traduction_anglaise","type","zone_geographique","continent","lat","lng","cartodb_id","remarque","auteur","titre","genre","representation","decennie","publication","decennie2","column2","column3","column4"
"0101000020E610000074D2FBC6D79E0DC05A643BDF4F354440","http://www.geonames.org/3117735","SCARRON_DOMJAPHETDARMENIE","6","Madrid","Madrid","Ville","Péninsule Ibérique","Europe","40.4165","-3.70256","203","","Scarron, Paul","Don Japhet d’Arménie","Comédie","1647","50","1653","50","http://dramacode.github.io/tcp5/scarron_domjaphetdarmenie.xml","https://catalogue.bnf.fr/ark:/12148/cb313084409","https://gallica.bnf.fr/ark:/12148/bpt6k70326x"
"0101000020E610000014CB2DAD86E417C0BEF6CC9200B14240","http://www.geonames.org/2510911","SCARRON_DOMJAPHETDARMENIE","8","Séville","Seville","Ville","Péninsule Ibérique","Europe","37.38283","-5.97317","204","","Scarron, Paul","Don Japhet d’Arménie","Comédie","1647","50","1653","50","http://dramacode.github.io/tcp5/scarron_domjaphetdarmenie.xml","https://catalogue.bnf.fr/ark:/12148/cb313084409","https://gallica.bnf.fr/ark:/12148/bpt6k70326x"
"NaN","http://www.geonames.org/145495","SCARRON_DOMJAPHETDARMENIE","7","Arménie","Armenia","Pays","Arménie","Asie","40","45","205","","Scarron, Paul","Don Japhet d’Arménie","Comédie","1647","50","1653","50","http://dramacode.github.io/tcp5/scarron_domjaphetdarmenie.xml","https://catalogue.bnf.fr/ark:/12148/cb313084409","https://gallica.bnf.fr/ark:/12148/bpt6k70326x"
"0101000020E610000000000000000010C00000000000004440","http://www.geonames.org/2510769","SCARRON_DOMJAPHETDARMENIE","3","Espagne","Spain","Pays","Péninsule Ibérique","Europe","40","-4","206","","Scarron, Paul","Don Japhet d’Arménie","Comédie","1647","50","1653","50","http://dramacode.github.io/tcp5/scarron_domjaphetdarmenie.xml","https://catalogue.bnf.fr/ark:/12148/cb313084409","https://gallica.bnf.fr/ark:/12148/bpt6k70326x"
"0101000020E610000081785DBF60B710C0978BF84ECC5A4340","http://www.geonames.org/2521869","SCARRON_DOMJAPHETDARMENIE","2","Almodobar","Almodóvar del Campo","Ville","Péninsule Ibérique","Europe","38.70936","-4.17908","208","Bonne ville?","Scarron, Paul","Don Japhet d’Arménie","Comédie","1647","50","1653","50","http://dramacode.github.io/tcp5/scarron_domjaphetdarmenie.xml","https://catalogue.bnf.fr/ark:/12148/cb313084409","https://gallica.bnf.fr/ark:/12148/bpt6k70326x"
"0101000020E61000000000000000D052C000000000000024C0","http://www.geonames.org/3932488","SCARRON_DOMJAPHETDARMENIE","3","Pérou","Peru","Pays","Amérique","Amérique","-10","-75.25","209","","Scarron, Paul","Don Japhet d’Arménie","Comédie","1647","50","1653","50","http://dramacode.github.io/tcp5/scarron_domjaphetdarmenie.xml","https://catalogue.bnf.fr/ark:/12148/cb313084409","https://gallica.bnf.fr/ark:/12148/bpt6k70326x"
"NaN","http://www.geonames.org/2525468","SCARRON_DOMJAPHETDARMENIE","1","Calabre","Calabria","Région","Italie","Europe","39","16.5","210","","Scarron, Paul","Don Japhet d’Arménie","Comédie","1647","50","1653","50","http://dramacode.github.io/tcp5/scarron_domjaphetdarmenie.xml","https://catalogue.bnf.fr/ark:/12148/cb313084409","https://gallica.bnf.fr/ark:/12148/bpt6k70326x"
"0101000020E61000006DAD2F12DA4220C037894160E5D84340","http://www.geonames.org/2264397","SCARRON_DOMJAPHETDARMENIE","1","Portugal","Portugal","Pays","Péninsule Ibérique","Europe","39.6945","-8.13057","211","","Scarron, Paul","Don Japhet d’Arménie","Comédie","1647","50","1653","50","http://dramacode.github.io/tcp5/scarron_domjaphetdarmenie.xml","https://catalogue.bnf.fr/ark:/12148/cb313084409","https://gallica.bnf.fr/ark:/12148/bpt6k70326x"
"","PAS TROUVE","SCARRON_DOMJAPHETDARMENIE","1","Miros","PAS TROUVE","Ville","Péninsule Ibérique","Europe","39.6945","-8.13057","212","","Scarron, Paul","Don Japhet d’Arménie","Comédie","1647","50","1653","50","http://dramacode.github.io/tcp5/scarron_domjaphetdarmenie.xml","https://catalogue.bnf.fr/ark:/12148/cb313084409","https://gallica.bnf.fr/ark:/12148/bpt6k70326x"
"0101000020E610000065DF15C1FF761FC08DEE2076A6604540","http://www.geonames.org/3336902","SCARRON_DOMJAPHETDARMENIE","2","Galice","Galicia","Région","Péninsule Ibérique","Europe","42.75508","-7.86621","213","","Scarron, Paul","Don Japhet d’Arménie","Comédie","1647","50","1653","50","http://dramacode.github.io/tcp5/scarron_domjaphetdarmenie.xml","https://catalogue.bnf.fr/ark:/12148/cb313084409","https://gallica.bnf.fr/ark:/12148/bpt6k70326x"
"0101000020E610000067EDB60BCD052940202922C32AF24440","http://www.geonames.org/3169070","SCARRON_DOMJAPHETDARMENIE","2","Rome","Roma","Ville","Italie","Europe","41.89193","12.51133","214","","Scarron, Paul","Don Japhet d’Arménie","Comédie","1647","50","1653","50","http://dramacode.github.io/tcp5/scarron_domjaphetdarmenie.xml","https://catalogue.bnf.fr/ark:/12148/cb313084409","https://gallica.bnf.fr/ark:/12148/bpt6k70326x"
"0101000020E610000049A297512C1710C04B598638D6ED4340","http://www.geonames.org/2510409","SCARRON_DOMJAPHETDARMENIE","3","Tolède","Toledo","Ville","Péninsule Ibérique","Europe","39.8581","-4.02263","215","","Scarron, Paul","Don Japhet d’Arménie","Comédie","1647","50","1653","50","http://dramacode.github.io/tcp5/scarron_domjaphetdarmenie.xml","https://catalogue.bnf.fr/ark:/12148/cb313084409","https://gallica.bnf.fr/ark:/12148/bpt6k70326x"
"0101000020E61000008E3BA583F57FE6BF545227A089144A40","http://www.geonames.org/6269131","SCARRON_DOMJAPHETDARMENIE","1","Angleterre","England","Pays","Grande-Bretagne","Europe","52.16045","-0.70312","216","","Scarron, Paul","Don Japhet d’Arménie","Comédie","1647","50","1653","50","http://dramacode.github.io/tcp5/scarron_domjaphetdarmenie.xml","https://catalogue.bnf.fr/ark:/12148/cb313084409","https://gallica.bnf.fr/ark:/12148/bpt6k70326x"
"0101000020E61000003A1E33501978614048FE60E0B9D74140","http://www.geonames.org/1861060","SCARRON_DOMJAPHETDARMENIE","1","Japon","Japan","Pays","Extrême-Orient","Asie","35.68536","139.75309","217","","Scarron, Paul","Don Japhet d’Arménie","Comédie","1647","50","1653","50","http://dramacode.github.io/tcp5/scarron_domjaphetdarmenie.xml","https://catalogue.bnf.fr/ark:/12148/cb313084409","https://gallica.bnf.fr/ark:/12148/bpt6k70326x"
"0101000020E610000092CCEA1D6EA33440868F882991384340","https://pleiades.stoa.org/places/530905","SCARRON_DOMJAPHETDARMENIE","1","Ithaque","Ithaca","Île","Grèce","Europe","38.44193","20.638399","218","","Scarron, Paul","Don Japhet d’Arménie","Comédie","1647","50","1653","50","http://dramacode.github.io/tcp5/scarron_domjaphetdarmenie.xml","https://catalogue.bnf.fr/ark:/12148/cb313084409","https://gallica.bnf.fr/ark:/12148/bpt6k70326x"
"0101000020E61000000000000000000CC00000000000804440","http://www.geonames.org/3125826","SCARRON_DOMJAPHETDARMENIE","1","Castille","Castile","Région","Péninsule Ibérique","Europe","41","-3.5","221","","Scarron, Paul","Don Japhet d’Arménie","Comédie","1647","50","1653","50","http://dramacode.github.io/tcp5/scarron_domjaphetdarmenie.xml","https://catalogue.bnf.fr/ark:/12148/cb313084409","https://gallica.bnf.fr/ark:/12148/bpt6k70326x"
