"the_geom","id","piece","_column","occurrence","traduction_anglaise","type","zone_geographique","continent","lat","lng","cartodb_id","remarque","auteur","titre","genre","representation","decennie","publication","decennie2","column2","column3","column4"
"0101000020E61000000F7F4DD6A8772840904946CEC2DE4440","http://www.geonames.org/3165709","SCUDERY_MORTDECESAR","4","Tibre","Tiber","Fleuve","Italie","Europe","41.74032","12.23371","253","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E6100000C9022670EB6ED83FDB6D179AEBB84840","http://www.geonames.org/2975252","SCUDERY_MORTDECESAR","1","Seine","Seine","Fleuve","France","Europe","49.44469","0.38177","254","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E61000006D3997E2AAAA3D404963B48EAAAA4640","http://www.geonames.org/791630","SCUDERY_MORTDECESAR","1","Danube","Danube","Fleuve","","Europe","45.33333","29.66667","255","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E610000072FE261422A25640A06CCA15DE5D3740","http://www.geonames.org/1202950","SCUDERY_MORTDECESAR","1","Gange","Ganges","Fleuve","Extrême-Orient","Asie","23.36667","90.53333","256","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E610000048C0E8F2E6F82840F931E6AE25F24440","https://pleiades.stoa.org/places/423025","SCUDERY_MORTDECESAR","12","Rome","Roma","Ville","Italie","Europe","41.891775","12.486137","257","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E610000078431A15385B36409753026292A74340","https://pleiades.stoa.org/places/541042","SCUDERY_MORTDECESAR","1","Pharsale","Farsala","Ville","Grèce","Europe","39.30915475","22.3563245","258","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E6100000268DD13AAAAA29404963B48EAA6A4540","http://www.geonames.org/3175395","SCUDERY_MORTDECESAR","1","Italie","Italy","Pays","Italie","Europe","42.83333","12.83333","259","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E61000006666666666264C40CDCCCCCCCC8C4240","https://pleiades.stoa.org/places/942333","SCUDERY_MORTDECESAR","1","Hircanie","Hyrcania","Région","Orient","Asie","37.1","56.3","260","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E61000004F41D9EFE4F628405C1146FD3FF24440","https://pleiades.stoa.org/places/347036492","SCUDERY_MORTDECESAR","2","Capitole","Capitoline Hill","Lieu","Italie","Europe","41.8925778","12.4822154","261","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E610000057957D57048F22C0D881734694564340","http://www.geonames.org/2262787","SCUDERY_MORTDECESAR","1","Tage","Tagus","Fleuve","Péninsule Ibérique","Europe","38.6764","-9.27933","262","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E610000011FFB0A5479328406D1CB1169FE04440","https://pleiades.stoa.org/places/422995","SCUDERY_MORTDECESAR","1","Ostie","Ostia","Ville","Italie","Europe","41.754855","12.287656","263","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E6100000B727486C77F72840213D450E11F14440","https://pleiades.stoa.org/places/865014139","SCUDERY_MORTDECESAR","1","Aventin","Aventine Hill","Lieu","Italie","Europe","41.883333","12.483333","264","Lieu ou montagne?","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E61000000000000000803B400000000000404540","https://pleiades.stoa.org/places/991379","SCUDERY_MORTDECESAR","1","Scythie","Scythie","Région","Orient","Asie","42.5","27.5","265","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E6100000EEB1F4A10B422940211FF46C56B94440","https://pleiades.stoa.org/places/422837","SCUDERY_MORTDECESAR","1","Antium","Anzio","Ville","Italie","Europe","41.44795","12.628995","266","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E6100000ECBA320E871536406A08883639EB3C40","https://pleiades.stoa.org/places/991375","SCUDERY_MORTDECESAR","1","Libye","Libya","Pays","Afrique","Afrique","28.9188417513","22.0840920328","267","Bon id?","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E610000000000000004045400000000000803B40","https://pleiades.stoa.org/places/29475","SCUDERY_MORTDECESAR","1","Arabie","Arabia","Région","Orient","Asie","27.5","42.5","268","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E61000000000000000001E400000000000404040","https://pleiades.stoa.org/places/775","SCUDERY_MORTDECESAR","2","Afrique","Africa","Continent","","Afrique","32.5","7.5","269","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E610000072A774B0FE8F05C037FDD98F14614B40","http://www.geonames.org/2635167","SCUDERY_MORTDECESAR","1","Grande-Bretagne","Great-Britain","Pays","Grande-Bretagne","Europe","54.75844","-2.69531","270","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E610000000000000000010C00000000000004440","http://www.geonames.org/2510769","SCUDERY_MORTDECESAR","1","Espagne","Spain","Pays","Péninsule Ibérique","Europe","40","-4","271","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"NaN","http://www.geonames.org/390903","SCUDERY_MORTDECESAR","1","Grèce","Greece","Pays","Grèce","Europe","39","22","272","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E61000000000000000003E400000000000003B40","http://www.geonames.org/357994","SCUDERY_MORTDECESAR","1","Égypte","Egypt","Pays","Afrique","Afrique","27","30","273","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E61000000000000000001E400000000000404A40","https://pleiades.stoa.org/places/20468","SCUDERY_MORTDECESAR","1","Germanie","Germania","Pays","Allemagne","Europe","52.5","7.5","274","","Scudéry, Georges de","La Mort de César","Tragédie","1636","30","1637","30","http://dramacode.github.io/tcp5/scudery_mortdecesar.xml","https://catalogue.bnf.fr/ark:/12148/cb313417528","https://gallica.bnf.fr/ark:/12148/bpt6k71623z"
"0101000020E6100000CA54C1A8A4CE2440111E6D1CB1DA4540","http://www.geonames.org/3170647","SCUDERY_ORANTE","5","Pise","Pisa","Ville","Italie","Europe","43.70853","10.4036","275","","Scudéry, Georges de","Orante","Tragi-comédie","","","1636","30","http://dramacode.github.io/bibdramatique/scudery_orante.xml","https://catalogue.bnf.fr/ark:/12148/cb360398455","https://catalogue.bnf.fr/ark:/12148/cb360398455"
"0101000020E61000000C76C3B645892C40CC7A3194136D4440","http://www.geonames.org/3172394","SCUDERY_ORANTE","8","Naples","Naples","Ville","Italie","Europe","40.85216","14.26811","276","","Scudéry, Georges de","Orante","Tragi-comédie","","","1636","30","http://dramacode.github.io/bibdramatique/scudery_orante.xml","https://catalogue.bnf.fr/ark:/12148/cb360398455","https://catalogue.bnf.fr/ark:/12148/cb360398455"
"0101000020E61000003CA06CCA157E264039B4C876BEE34540","http://www.geonames.org/3176959","SCUDERY_ORANTE","2","Florence","Florence","Ville","Italie","Europe","43.77925","11.24626","277","","Scudéry, Georges de","Orante","Tragi-comédie","","","1636","30","http://dramacode.github.io/bibdramatique/scudery_orante.xml","https://catalogue.bnf.fr/ark:/12148/cb360398455","https://catalogue.bnf.fr/ark:/12148/cb360398455"
"0101000020E610000072FE261422A25640A06CCA15DE5D3740","http://www.geonames.org/1202950","SCUDERY_ORANTE","1","Gange","Ganges","Fleuve","Extrême-Orient","Asie","23.36667","90.53333","278","","Scudéry, Georges de","Orante","Tragi-comédie","","","1636","30","http://dramacode.github.io/bibdramatique/scudery_orante.xml","https://catalogue.bnf.fr/ark:/12148/cb360398455","https://catalogue.bnf.fr/ark:/12148/cb360398455"
"0101000020E6100000475BF0FD68AF36404EBC5EF5DBE54340","https://pleiades.stoa.org/places/540993","SCUDERY_ORANTE","1","Osse","Ossa","Montagne","Grèce","Europe","39.7957751","22.6851958","279","","Scudéry, Georges de","Orante","Tragi-comédie","","","1636","30","http://dramacode.github.io/bibdramatique/scudery_orante.xml","https://catalogue.bnf.fr/ark:/12148/cb360398455","https://catalogue.bnf.fr/ark:/12148/cb360398455"
"0101000020E610000000000000004037400000000000A04340","https://pleiades.stoa.org/places/541021","SCUDERY_ORANTE","1","Pélion","Pelion","Montagne","Grèce","Europe","39.25","23.25","280","","Scudéry, Georges de","Orante","Tragi-comédie","","","1636","30","http://dramacode.github.io/bibdramatique/scudery_orante.xml","https://catalogue.bnf.fr/ark:/12148/cb360398455","https://catalogue.bnf.fr/ark:/12148/cb360398455"
"NaN","http://www.geonames.org/3017382","SCUDERY_ORANTE","1","France","France","Pays","France","Europe","46","2","281","","Scudéry, Georges de","Orante","Tragi-comédie","","","1636","30","http://dramacode.github.io/bibdramatique/scudery_orante.xml","https://catalogue.bnf.fr/ark:/12148/cb360398455","https://catalogue.bnf.fr/ark:/12148/cb360398455"
"0101000020E61000001AF2D19F0B3D3A40E08E50288DFA4340","https://pleiades.stoa.org/places/550595","SCUDERY_ORANTE","1","Troie","Troy","Ville","Anatolie","Asie","39.9574327844","26.2384586227","282","","Scudéry, Georges de","Orante","Tragi-comédie","","","1636","30","http://dramacode.github.io/bibdramatique/scudery_orante.xml","https://catalogue.bnf.fr/ark:/12148/cb360398455","https://catalogue.bnf.fr/ark:/12148/cb360398455"
"0101000020E61000008D28ED0DBE302C40A4E4D539066C4440","http://www.geonames.org/3169984","SCUDERY_ORANTE","1","Pouzzole","Pozzuoli","Ville","Italie","Europe","40.84394","14.0952","283","","Scudéry, Georges de","Orante","Tragi-comédie","","","1636","30","http://dramacode.github.io/bibdramatique/scudery_orante.xml","https://catalogue.bnf.fr/ark:/12148/cb360398455","https://catalogue.bnf.fr/ark:/12148/cb360398455"
"0101000020E6100000268DD13AAAAA29404963B48EAA6A4540","http://www.geonames.org/3175395","SCUDERY_ORANTE","1","Italie","Italy","Pays","Italie","Europe","42.83333","12.83333","284","","Scudéry, Georges de","Orante","Tragi-comédie","","","1636","30","http://dramacode.github.io/bibdramatique/scudery_orante.xml","https://catalogue.bnf.fr/ark:/12148/cb360398455","https://catalogue.bnf.fr/ark:/12148/cb360398455"
"0101000020E61000000000000000802C400000000000E04240","http://www.geonames.org/2523119","SCUDERY_PRINCEDEGUISE","4","Sicile","Sicily","Région","Italie","Europe","37.75","14.25","285","","Scudéry, Georges de","Le Prince déguisé","Tragi-comédie","1635","30","1636","30","http://dramacode.github.io/tcp5/scudery_princedeguise.xml","https://catalogue.bnf.fr/ark:/12148/cb313417570","https://gallica.bnf.fr/ark:/12148/bpt6k5620674c"
"0101000020E61000000C76C3B645892C40CC7A3194136D4440","http://www.geonames.org/3172394","SCUDERY_PRINCEDEGUISE","2","Naples","Naples","Ville","Italie","Europe","40.85216","14.26811","286","","Scudéry, Georges de","Le Prince déguisé","Tragi-comédie","1635","30","1636","30","http://dramacode.github.io/tcp5/scudery_princedeguise.xml","https://catalogue.bnf.fr/ark:/12148/cb313417570","https://gallica.bnf.fr/ark:/12148/bpt6k5620674c"
"0101000020E6100000B9533A58FF4722400D6C956071584840","http://www.geonames.org/6255148","SCUDERY_PRINCEDEGUISE","1","Europe","Europa","Continent","","Europe","48.69096","9.14062","287","","Scudéry, Georges de","Le Prince déguisé","Tragi-comédie","1635","30","1636","30","http://dramacode.github.io/tcp5/scudery_princedeguise.xml","https://catalogue.bnf.fr/ark:/12148/cb313417570","https://gallica.bnf.fr/ark:/12148/bpt6k5620674c"
"0101000020E6100000D027F224E91A2F4070B1A206D3184340","http://www.geonames.org/2524170","SCUDERY_PRINCEDEGUISE","1","Messine","Messina","Ville","Italie","Europe","38.19394","15.55256","288","","Scudéry, Georges de","Le Prince déguisé","Tragi-comédie","1635","30","1636","30","http://dramacode.github.io/tcp5/scudery_princedeguise.xml","https://catalogue.bnf.fr/ark:/12148/cb313417570","https://gallica.bnf.fr/ark:/12148/bpt6k5620674c"
"0101000020E61000005A47551344FD2D400742B28009E04240","http://www.geonames.org/2524810","SCUDERY_PRINCEDEGUISE","1","Etna","Etna","Montagne","Italie","Europe","37.75029","14.99466","289","","Scudéry, Georges de","Le Prince déguisé","Tragi-comédie","1635","30","1636","30","http://dramacode.github.io/tcp5/scudery_princedeguise.xml","https://catalogue.bnf.fr/ark:/12148/cb313417570","https://gallica.bnf.fr/ark:/12148/bpt6k5620674c"
"0101000020E61000005DF92CCF83DB2C40DA722EC555694440","http://www.geonames.org/3164481","SCUDERY_PRINCEDEGUISE","1","Vésuve","Mount Vesuvius","Montagne","Italie","Europe","40.82293","14.42874","290","","Scudéry, Georges de","Le Prince déguisé","Tragi-comédie","1635","30","1636","30","http://dramacode.github.io/tcp5/scudery_princedeguise.xml","https://catalogue.bnf.fr/ark:/12148/cb313417570","https://gallica.bnf.fr/ark:/12148/bpt6k5620674c"
"0101000020E6100000CF6BEC12D5AB2A40E9B7AF03E7104340","http://www.geonames.org/2523920","SCUDERY_PRINCEDEGUISE","1","Palerme","Palermo","Ville","Italie","Europe","38.13205","13.33561","291","","Scudéry, Georges de","Le Prince déguisé","Tragi-comédie","1635","30","1636","30","http://dramacode.github.io/tcp5/scudery_princedeguise.xml","https://catalogue.bnf.fr/ark:/12148/cb313417570","https://gallica.bnf.fr/ark:/12148/bpt6k5620674c"
"NaN","http://www.geonames.org/390903","SCUDERY_PRINCEDEGUISE","2","Grèce","Greece","Pays","Grèce","Europe","39","22","292","","Scudéry, Georges de","Le Prince déguisé","Tragi-comédie","1635","30","1636","30","http://dramacode.github.io/tcp5/scudery_princedeguise.xml","https://catalogue.bnf.fr/ark:/12148/cb313417570","https://gallica.bnf.fr/ark:/12148/bpt6k5620674c"
"0101000020E6100000268DD13AAAAA29404963B48EAA6A4540","http://www.geonames.org/3175395","SCUDERY_PRINCEDEGUISE","1","Italie","Italy","Pays","Italie","Europe","42.83333","12.83333","293","","Scudéry, Georges de","Le Prince déguisé","Tragi-comédie","1635","30","1636","30","http://dramacode.github.io/tcp5/scudery_princedeguise.xml","https://catalogue.bnf.fr/ark:/12148/cb313417570","https://gallica.bnf.fr/ark:/12148/bpt6k5620674c"
"0101000020E61000002F053CD17BED0340CE9FDBF0E0C94640","https://pleiades.stoa.org/places/993","SCUDERY_PRINCEDEGUISE","1","Gaule","Gaul","Pays","France","Europe","45.57717715","2.49095881905","294","","Scudéry, Georges de","Le Prince déguisé","Tragi-comédie","1635","30","1636","30","http://dramacode.github.io/tcp5/scudery_princedeguise.xml","https://catalogue.bnf.fr/ark:/12148/cb313417570","https://gallica.bnf.fr/ark:/12148/bpt6k5620674c"
"0101000020E61000006666666666262C402B14E97E4E6B4440","https://pleiades.stoa.org/places/432712","SCUDERY_PRINCEDEGUISE","1","Averne","Avernus","Lac","Italie","Europe","40.838333","14.075","295","","Scudéry, Georges de","Le Prince déguisé","Tragi-comédie","1635","30","1636","30","http://dramacode.github.io/tcp5/scudery_princedeguise.xml","https://catalogue.bnf.fr/ark:/12148/cb313417570","https://gallica.bnf.fr/ark:/12148/bpt6k5620674c"
"0101000020E61000000000000000000CC00000000000404840","https://pleiades.stoa.org/places/69467","SCUDERY_VASSALGENEREUX","1","Gaule armorique","Brittany","Région","France","Europe","48.5","-3.5","296","","Scudéry, Georges de","Le Vassal généreux","Tragi-comédie","","","1636","30","http://dramacode.github.io/bibdramatique/scudery_vassalgenereux.xml","https://catalogue.bnf.fr/ark:/12148/cb31341762k",""
