"the_geom","id","piece","_column","occurrence","traduction_anglaise","type","zone_geographique","continent","lat","lng","cartodb_id","remarque","auteur","titre","genre","representation","decennie","publication","decennie2","column2","column3","column4"
"0101000020E610000031CEDF8442242B40255D33F9669B4440","http://www.geonames.org/3176438","CORNEILLET_GEOLIERDESOISMEME","9","Gaïette","Gaeta","Ville","Italie","Europe","41.21408","13.57082","83","","Corneille, Thomas","Le Geôlier de soi-même","Comédie","1655","50","1655","50","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_GEOLIERDESOISMEME.xml","",""
"0101000020E61000004030478FDF1B2840E960FD9FC37C4640","http://www.geonames.org/3170550","CORNEILLEP_ILLUSIONCOMIQUE","1","Pô","Po","Fleuve","Italie","Europe","44.97472","12.05444","43","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E6100000287E8CB96BA91740DC2E34D769FC4940","http://www.geonames.org/2748179","CORNEILLEP_ILLUSIONCOMIQUE","1","Rhin","Rhine","Fleuve","Allemagne","Europe","51.97198","5.91545","44","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E61000004A0C022B87561340179F02603CDB4940","http://www.geonames.org/2751306","CORNEILLEP_ILLUSIONCOMIQUE","1","Meuse","Meuse","Fleuve","France","Europe","51.71278","4.8345","45","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E6100000C9022670EB6ED83FDB6D179AEBB84840","http://www.geonames.org/2975252","CORNEILLEP_ILLUSIONCOMIQUE","1","Seine","Seine","Fleuve","France","Europe","49.44469","0.38177","46","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E610000057957D57048F22C0D881734694564340","http://www.geonames.org/2262787","CORNEILLEP_ILLUSIONCOMIQUE","1","Tage","Tagus","Fleuve","Péninsule Ibérique","Europe","38.6764","-9.27933","47","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E6100000983446EBA8AA06C0B79C4B7155154840","http://www.geonames.org/3030293","CORNEILLEP_ILLUSIONCOMIQUE","2","Bretagne","Brittany","Région","France","Europe","48.16667","-2.83333","48","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E610000027C286A757CA0240280AF4893C6D4840","http://www.geonames.org/2988507","CORNEILLEP_ILLUSIONCOMIQUE","4","Paris","Paris","Ville","France","Europe","48.85341","2.3488","49","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E61000005DDC460378EB19C08CDB68006FA54440","http://www.geonames.org/3107914","CORNEILLEP_ILLUSIONCOMIQUE","1","Tormes","Tormes","Fleuve","Péninsule Ibérique","Europe","41.29245","-6.47995","50","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
"0101000020E6100000FA7E6ABC7493E2BF0820B589936B4640","http://www.geonames.org/3031582","CORNEILLEP_ILLUSIONCOMIQUE","1","Bordeaux","Bordeaux","Ville","France","Europe","44.84044","-0.5805","51","","Corneille, Pierre","Illusion comique","Comédie","1636","30","1639","","http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml","https://catalogue.bnf.fr/ark:/12148/cb30271704q","https://gallica.bnf.fr/ark:/12148/bpt6k70407x"
