piece,occurrence,traduction_anglaise,type,zone_geographique,continent,lat,lng,auteur_2,titre,genre,representation,decennie,publication,decennie2,column2,column3,column4
BOYER_AGAMEMNON,Asie,Asia,Continent,,,29.84064,89.29688,Claude Boyer,Agammemnon,Tragédie,1647,40,1680,80,http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml,https://catalogue.bnf.fr/ark:/12148/cb301521083,
BOYER_AGAMEMNON,Grèce,Greece,Pays,Grèce,Europe,39,22,Claude Boyer,Agammemnon,Tragédie,1647,40,1680,80,http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml,https://catalogue.bnf.fr/ark:/12148/cb301521083,
BOYER_AGAMEMNON,Mycènes,Mycenae,Ville,Grèce,Europe,37.7300345711,22.7540710459,Claude Boyer,Agammemnon,Tragédie,1647,40,1680,80,http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml,https://catalogue.bnf.fr/ark:/12148/cb301521083,
BOYER_AGAMEMNON,Phocide,Phocis,Région,Grèce,Europe,38.5,22.25,Claude Boyer,Agammemnon,Tragédie,1647,40,1680,80,http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml,https://catalogue.bnf.fr/ark:/12148/cb301521083,
BOYER_AGAMEMNON,Ilion,Ilion,Ville,Grèce,Europe,39.740892,20.552904,Claude Boyer,Agammemnon,Tragédie,1647,40,1680,80,http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml,https://catalogue.bnf.fr/ark:/12148/cb301521083,
BOYER_AGAMEMNON,mer Egée,Aegean Sea,Mer,Grèce,Europe,37.4126570185,25.8014773544,Claude Boyer,Agammemnon,Tragédie,1647,40,1680,80,http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml,https://catalogue.bnf.fr/ark:/12148/cb301521083,
BOYER_AGAMEMNON,Argos,Argos,Ville,Grèce,Europe,37.631561,22.719464,Claude Boyer,Agammemnon,Tragédie,1647,40,1680,80,http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml,https://catalogue.bnf.fr/ark:/12148/cb301521083,
BOYER_AGAMEMNON,Troie,Troy,Ville,Anatolie,Asie,39.9574327844,26.2384586227,Claude Boyer,Agammemnon,Tragédie,1647,40,1680,80,http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml,https://catalogue.bnf.fr/ark:/12148/cb301521083,
BOYER_AGAMEMNON,Crète,Creta,Pays,Grèce,Europe,35.0627201667,24.9469437222,Claude Boyer,Agammemnon,Tragédie,1647,40,1680,80,http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml,https://catalogue.bnf.fr/ark:/12148/cb301521083,
BOYER_AGAMEMNON,Sparte,Sparta,Ville,Grèce,Europe,37.077905,22.4272985,Claude Boyer,Agammemnon,Tragédie,1647,40,1680,80,http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml,https://catalogue.bnf.fr/ark:/12148/cb301521083,
BOYER_AGAMEMNON,Athènes,Athens,Ville,Grèce,Europe,37.9728191495,23.7237438519,Claude Boyer,Agammemnon,Tragédie,1647,40,1680,80,http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml,https://catalogue.bnf.fr/ark:/12148/cb301521083,
BOYER_AGAMEMNON,Corinthe,Corinth,Ville,Grèce,Europe,37.8980016198,22.8999795422,Claude Boyer,Agammemnon,Tragédie,1647,40,1680,80,http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml,https://catalogue.bnf.fr/ark:/12148/cb301521083,
BOYER_AGAMEMNON,Ithaque,Ithaca,Île,Grèce,Europe,38.44193,20.638399,Claude Boyer,Agammemnon,Tragédie,1647,40,1680,80,http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml,https://catalogue.bnf.fr/ark:/12148/cb301521083,
BOYER_AGAMEMNON,Epire,Epirus,Région,Grèce,Europe,39.5771060055,20.589832047,Claude Boyer,Agammemnon,Tragédie,1647,40,1680,80,http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml,https://catalogue.bnf.fr/ark:/12148/cb301521083,
BOYER_AGAMEMNON,Europe,Europa,Continent,,Europe,48.69096,9.14062,Claude Boyer,Agammemnon,Tragédie,1647,40,1680,80,http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml,https://catalogue.bnf.fr/ark:/12148/cb301521083,
