"the_geom","id","piece","_column","occurrence","traduction_anglaise","type","zone_geographique","continent","lat","lng","cartodb_id","remarque","auteur","titre","genre","representation","decennie","publication","decennie2","column2","column3","column4"
"0101000020E61000000000000000000CC00000000000804440","http://www.geonames.org/3125826","CORNEILLEP_CID","7","Castille","Castile","Région","Péninsule Ibérique","Europe","41","-3.5","35","","Corneille, Pierre","Le Cid","Tragi_comédie","1637","30","1637","30","http://dramacode.github.io/tcp5/corneillep_cid.xml","https://catalogue.bnf.fr/ark:/12148/cb30271451d","https://gallica.bnf.fr/ark:/12148/bpt6k70138c"
"0101000020E6100000B79C4B7155D54EC040D9942BBC3B2840","http://www.geonames.org/3580239","CORNEILLEP_CID","4","Grenade","Granada","Ville","Péninsule Ibérique","Europe","12.11667","-61.66667","36","","Corneille, Pierre","Le Cid","Tragi_comédie","1637","30","1637","30","http://dramacode.github.io/tcp5/corneillep_cid.xml","https://catalogue.bnf.fr/ark:/12148/cb30271451d","https://gallica.bnf.fr/ark:/12148/bpt6k70138c"
"0101000020E6100000A12DE7525C55E5BF0000000000C04440","http://www.geonames.org/3336899","CORNEILLEP_CID","3","Aragon","Aragon","Région","Péninsule Ibérique","Europe","41.5","-0.66667","37","","Corneille, Pierre","Le Cid","Tragi_comédie","1637","30","1637","30","http://dramacode.github.io/tcp5/corneillep_cid.xml","https://catalogue.bnf.fr/ark:/12148/cb30271451d","https://gallica.bnf.fr/ark:/12148/bpt6k70138c"
"0101000020E610000000000000000010C00000000000004440","http://www.geonames.org/2510769","CORNEILLEP_CID","3","Espagne","Spain","Pays","Péninsule Ibérique","Europe","40","-4","38","","Corneille, Pierre","Le Cid","Tragi_comédie","1637","30","1637","30","http://dramacode.github.io/tcp5/corneillep_cid.xml","https://catalogue.bnf.fr/ark:/12148/cb30271451d","https://gallica.bnf.fr/ark:/12148/bpt6k70138c"
"0101000020E61000006DAD2F12DA4220C037894160E5D84340","http://www.geonames.org/2264397","CORNEILLEP_CID","1","Portugal","Portugal","Pays","Péninsule Ibérique","Europe","39.6945","-8.13057","39","","Corneille, Pierre","Le Cid","Tragi_comédie","1637","30","1637","30","http://dramacode.github.io/tcp5/corneillep_cid.xml","https://catalogue.bnf.fr/ark:/12148/cb30271451d","https://gallica.bnf.fr/ark:/12148/bpt6k70138c"
"0101000020E610000000000000000012C0CDCCCCCCCCCC4240","http://www.geonames.org/2593109","CORNEILLEP_CID","1","Andalousie","Andalusia","Région","Péninsule Ibérique","Europe","37.6","-4.5","40","","Corneille, Pierre","Le Cid","Tragi_comédie","1637","30","1637","30","http://dramacode.github.io/tcp5/corneillep_cid.xml","https://catalogue.bnf.fr/ark:/12148/cb30271451d","https://gallica.bnf.fr/ark:/12148/bpt6k70138c"
"0101000020E610000014CB2DAD86E417C0BEF6CC9200B14240","http://www.geonames.org/2510911","CORNEILLEP_CID","1","Séville","Seville","Ville","Péninsule Ibérique","Europe","37.38283","-5.97317","41","","Corneille, Pierre","Le Cid","Tragi_comédie","1637","30","1637","30","http://dramacode.github.io/tcp5/corneillep_cid.xml","https://catalogue.bnf.fr/ark:/12148/cb30271451d","https://gallica.bnf.fr/ark:/12148/bpt6k70138c"
"0101000020E610000049A297512C1710C04B598638D6ED4340","http://www.geonames.org/2510409","CORNEILLEP_CID","1","Tolède","Toledo","Ville","Péninsule Ibérique","Europe","39.8581","-4.02263","42","","Corneille, Pierre","Le Cid","Tragi_comédie","1637","30","1637","30","http://dramacode.github.io/tcp5/corneillep_cid.xml","https://catalogue.bnf.fr/ark:/12148/cb30271451d","https://gallica.bnf.fr/ark:/12148/bpt6k70138c"
"0101000020E610000048C0E8F2E6F82840F931E6AE25F24440","https://pleiades.stoa.org/places/423025","DURYER_CLARIGENE","22","Rome","Roma","Ville","Italie","Europe","41.891775","12.486137","86","","Duryer, Pierre","Clarigène","Tragi_comédie","1637","30","1639","30","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_CLARIGENE.xml","https://catalogue.bnf.fr/ark:/12148/cb303879252","https://gallica.bnf.fr/ark:/12148/bpt6k71577m"
"0101000020E61000007197EE4647B937403403805685FC4240","https://pleiades.stoa.org/places/579885","DURYER_CLARIGENE","4","Athènes","Athens","Ville","Grèce","Europe","37.9728191495","23.7237438519","87","","Duryer, Pierre","Clarigène","Tragi_comédie","1637","30","1639","30","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_CLARIGENE.xml","https://catalogue.bnf.fr/ark:/12148/cb303879252","https://gallica.bnf.fr/ark:/12148/bpt6k71577m"
"0101000020E610000011FFB0A5479328406D1CB1169FE04440","https://pleiades.stoa.org/places/422995","DURYER_CLARIGENE","1","Ostie","Ostia","Ville","Italie","Europe","41.754855","12.287656","88","","Duryer, Pierre","Clarigène","Tragi_comédie","1637","30","1639","30","http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_CLARIGENE.xml","https://catalogue.bnf.fr/ark:/12148/cb303879252","https://gallica.bnf.fr/ark:/12148/bpt6k71577m"
